,host_acceptance_rate,host_is_superhost,host_identity_verified,latitude,bathrooms,price,has_availability,instant_bookable,Private room,within a day,within a few hours,kitchen,Breakfast,Nespresso machine,TV,security_cameras,Wifi,hot_water,log_min_nights,log_max_nights,log_nreviews,log_accommo
7701,100.0,0,1,37.98351,1.0,36.0,1,1,0,0,0,1,0,0,1,0,1,1,0.4054651081081644,6.215607598755275,4.255612709818223,0.9162907318741551
7702,94.0,1,1,37.96581,1.0,78.0,1,1,0,0,0,1,0,1,1,0,1,1,0.9162907318741551,5.901266279189834,2.3513752571634776,1.5040773967762742
7703,100.0,0,1,37.98351,1.0,36.0,1,1,0,0,0,1,0,0,1,0,1,1,0.9162907318741551,6.215607598755275,4.212127597878484,0.9162907318741551
7704,29.0,0,1,38.00569,1.0,25.0,1,0,0,0,0,1,0,0,1,0,1,1,1.5040773967762742,5.901266279189834,1.252762968495368,1.5040773967762742
7705,92.0,1,1,37.98871,1.0,59.0,1,0,0,0,0,1,0,1,0,0,1,1,0.9162907318741551,7.025982660346787,1.252762968495368,1.5040773967762742
7706,92.0,1,1,37.9887,1.0,54.0,1,0,0,0,0,1,0,1,0,0,1,1,0.9162907318741551,7.025982660346787,1.252762968495368,1.5040773967762742
7707,100.0,0,1,37.98037,1.0,24.0,1,1,0,0,0,1,0,0,0,0,1,1,0.9162907318741551,3.2386784521643803,3.449987545831587,0.9162907318741551
7708,100.0,1,1,37.98561,1.0,72.0,1,1,0,0,0,1,0,0,1,0,1,1,0.9162907318741551,7.025982660346787,2.6741486494265287,0.9162907318741551
7709,100.0,0,1,37.98307,2.0,63.0,1,1,0,0,0,1,0,0,1,0,1,1,0.9162907318741551,7.025982660346787,3.624340932976365,1.8718021769015913
7710,100.0,0,1,37.98307,2.0,52.0,1,1,0,0,0,1,0,0,1,0,1,1,0.9162907318741551,7.025982660346787,2.0149030205422647,1.8718021769015913
7711,100.0,0,1,37.97733,1.0,333.0,1,1,1,0,0,0,1,0,1,0,1,0,0.4054651081081644,7.025982660346787,-0.6931471805599453,0.4054651081081644
7712,100.0,0,1,37.97656,1.0,270.0,1,1,1,0,0,0,1,0,1,1,1,0,0.4054651081081644,7.025982660346787,-0.6931471805599453,0.9162907318741551
7713,100.0,0,1,37.9779,1.0,333.0,1,1,1,0,0,0,0,0,1,0,1,0,0.4054651081081644,7.025982660346787,-0.6931471805599453,0.9162907318741551
7714,100.0,0,1,37.97707,1.0,333.0,1,1,1,0,0,0,1,0,1,0,1,0,0.4054651081081644,7.025982660346787,-0.6931471805599453,1.252762968495368
7715,93.0,1,1,37.96512,1.0,91.0,1,1,0,0,0,1,0,1,1,0,1,1,0.4054651081081644,5.901266279189834,0.4054651081081644,0.9162907318741551
7716,99.0,1,1,37.96932,2.0,170.0,1,1,0,0,0,1,1,1,0,0,1,1,0.4054651081081644,3.417726683613366,1.8718021769015913,2.1400661634962708
7717,100.0,1,1,37.97576,1.0,44.0,1,1,0,0,0,0,0,0,1,0,1,1,0.9162907318741551,5.859360706474645,3.0204248861443626,1.5040773967762742
7718,100.0,1,1,37.97511,1.0,52.0,1,1,0,0,0,1,0,0,1,0,1,1,0.4054651081081644,5.859360706474645,2.6026896854443837,0.9162907318741551
7719,100.0,0,1,37.96934,1.0,90.0,1,1,0,0,0,1,0,0,1,0,1,1,0.9162907318741551,7.025982660346787,0.9162907318741551,1.7047480922384253
7720,99.0,0,1,37.9641,1.0,150.0,1,1,0,0,0,1,0,0,1,1,1,1,0.4054651081081644,7.025982660346787,2.4423470353692043,0.9162907318741551
7721,99.0,0,1,37.96343,1.0,130.0,1,1,0,0,0,0,0,0,1,1,1,1,0.4054651081081644,7.025982660346787,3.7727609380946383,0.9162907318741551
7722,100.0,0,1,37.994040000000005,1.5,29.0,1,1,0,0,0,1,0,0,1,0,1,1,0.4054651081081644,7.025982660346787,1.252762968495368,1.5040773967762742
7723,99.0,0,1,37.96323,1.5,25.0,1,1,0,0,0,1,0,0,0,0,1,1,0.4054651081081644,7.025982660346787,1.252762968495368,0.9162907318741551
7724,0.0,0,1,38.00957,1.0,41.0,1,0,0,1,0,1,0,0,1,0,1,1,0.9162907318741551,4.52720864451838,-0.6931471805599453,1.8718021769015913
7725,0.0,0,0,37.99613,1.0,29.0,1,0,0,0,0,1,0,0,1,0,1,0,0.9162907318741551,7.025982660346787,-0.6931471805599453,1.7047480922384253
7726,100.0,0,1,37.97829,1.0,55.0,1,1,0,0,0,1,0,0,1,0,1,1,0.9162907318741551,6.215607598755275,3.5409593240373143,1.5040773967762742
7727,99.0,0,1,37.9791,1.0,37.0,1,1,0,0,0,0,0,0,1,0,1,0,0.4054651081081644,7.025982660346787,2.0149030205422647,0.9162907318741551
